iter	Passed	Remaining
378	708	1160
379	710	1158
380	712	1157
381	714	1155
382	716	1153
383	717	1151
384	719	1149
385	721	1147
386	723	1145
387	725	1144
388	727	1142
389	729	1140
390	731	1139
391	733	1137
392	735	1135
393	736	1133
394	738	1131
395	740	1129
396	742	1127
397	744	1125
398	745	1123
399	747	1121
400	749	1119
401	751	1117
402	753	1115
403	754	1113
404	756	1111
405	758	1109
406	760	1107
407	762	1105
408	764	1104
409	765	1102
410	767	1100
411	769	1098
412	771	1096
413	773	1094
414	774	1092
415	776	1090
416	778	1088
417	780	1086
418	782	1085
419	784	1083
420	786	1081
421	787	1079
422	789	1077
423	791	1075
424	793	1073
425	795	1071
426	797	1069
427	799	1067
428	800	1066
429	802	1063
430	804	1061
431	806	1059
432	807	1057
433	809	1056
434	811	1054
435	813	1052
436	815	1050
437	817	1048
438	818	1046
439	820	1044
440	822	1042
441	824	1041
442	826	1039
443	828	1037
444	830	1035
445	831	1033
446	833	1031
447	835	1029
448	837	1027
449	839	1025
450	841	1023
451	843	1022
452	844	1020
453	847	1018
454	848	1016
455	850	1015
456	852	1012
457	854	1010
458	856	1008
459	858	1007
460	860	1005
461	862	1003
462	864	1002
463	865	1000
464	867	998
465	869	996
466	871	994
467	873	992
468	875	990
469	876	988
470	878	986
471	880	985
472	882	982
473	883	980
474	885	978
475	887	977
476	889	975
477	891	973
478	893	971
479	895	969
480	897	967
481	898	965
482	900	963
483	902	961
484	903	959
485	905	958
486	907	956
487	909	954
488	911	952
489	913	950
490	915	948
491	916	946
492	918	944
493	920	942
494	922	941
495	924	939
496	926	937
497	928	935
498	930	933
499	932	932
500	933	930
501	935	928
502	937	926
503	939	924
504	941	922
505	943	921
506	945	919
507	946	917
508	948	915
509	950	913
510	952	911
511	954	909
512	956	907
513	957	905
514	959	903
515	961	902
516	963	900
517	965	898
518	967	896
519	969	894
520	971	893
521	973	891
522	975	889
523	977	888
524	979	886
525	982	885
526	984	883
527	986	882
528	989	880
529	991	879
530	993	877
531	995	875
532	997	874
533	999	872
534	1001	870
535	1003	869
536	1006	867
537	1007	865
538	1010	864
539	1012	862
540	1014	860
541	1015	858
542	1017	856
543	1020	855
544	1022	853
545	1024	852
546	1026	850
547	1028	848
548	1030	846
549	1032	844
550	1034	842
551	1036	840
552	1038	839
553	1040	837
554	1042	835
555	1043	833
556	1045	831
557	1047	829
558	1049	827
559	1051	825
560	1053	824
561	1055	822
562	1057	820
563	1059	818
564	1061	816
565	1062	814
566	1064	812
567	1066	810
568	1067	808
569	1070	807
570	1072	805
571	1074	803
572	1075	801
573	1077	799
574	1079	797
575	1081	796
576	1083	794
577	1085	792
578	1087	790
579	1089	788
580	1090	786
581	1092	784
582	1094	782
583	1096	780
584	1097	778
585	1099	776
586	1101	775
587	1103	773
588	1105	771
589	1107	769
590	1109	767
591	1111	765
592	1112	763
593	1114	761
594	1116	759
595	1118	758
596	1120	756
597	1122	754
598	1124	752
599	1126	750
600	1128	748
601	1130	747
602	1132	745
603	1134	743
604	1136	741
605	1138	740
606	1140	738
607	1141	736
608	1143	734
609	1145	732
610	1147	730
611	1148	728
612	1151	726
613	1153	724
614	1155	723
615	1157	721
616	1159	719
617	1160	717
618	1162	715
619	1164	713
620	1166	711
621	1168	709
622	1170	708
623	1172	706
624	1173	704
625	1175	702
626	1177	700
627	1179	698
628	1181	696
629	1182	694
630	1184	692
631	1187	691
632	1188	689
633	1190	687
634	1192	685
635	1194	683
636	1196	681
637	1198	679
638	1200	678
639	1202	676
640	1204	674
641	1206	672
642	1207	670
643	1209	668
644	1211	666
645	1213	664
646	1215	663
647	1217	661
648	1219	659
649	1221	657
650	1222	655
651	1224	653
652	1226	651
653	1228	649
654	1229	647
655	1232	646
656	1234	644
657	1236	642
658	1237	640
659	1239	638
660	1241	636
661	1243	634
662	1244	632
663	1246	630
664	1248	629
665	1250	627
666	1252	625
667	1254	623
668	1256	621
669	1258	619
670	1259	617
671	1261	615
672	1263	613
673	1265	612
674	1267	610
675	1269	608
676	1271	606
677	1273	604
678	1274	602
679	1276	600
680	1278	598
681	1280	596
682	1282	595
683	1284	593
684	1286	591
685	1288	589
686	1289	587
687	1291	585
688	1293	583
689	1295	581
690	1297	580
691	1299	578
692	1301	576
693	1303	574
694	1304	572
695	1306	570
696	1308	568
697	1310	566
698	1312	565
699	1314	563
700	1316	561
701	1318	559
702	1319	557
703	1321	555
704	1323	553
705	1325	551
706	1327	549
707	1328	548
708	1331	546
709	1333	544
710	1335	542
711	1337	540
712	1338	538
713	1340	536
714	1342	535
715	1344	533
716	1346	531
717	1347	529
718	1349	527
719	1351	525
720	1353	523
721	1354	521
722	1356	519
723	1358	517
724	1360	515
725	1362	514
726	1364	512
727	1366	510
728	1367	508
729	1369	506
730	1371	504
731	1373	502
732	1374	500
733	1376	498
734	1378	497
735	1380	495
736	1382	493
737	1384	491
738	1386	489
739	1388	487
740	1390	485
741	1391	483
742	1393	481
743	1395	480
744	1397	478
745	1399	476
746	1401	474
747	1402	472
748	1404	470
749	1406	468
750	1408	466
751	1410	465
752	1412	463
753	1414	461
754	1415	459
755	1417	457
756	1419	455
757	1421	453
758	1422	451
759	1424	449
760	1426	447
761	1428	446
762	1430	444
763	1432	442
764	1434	440
765	1436	438
766	1437	436
767	1439	434
768	1441	432
769	1443	431
770	1445	429
771	1447	427
772	1449	425
773	1450	423
774	1452	421
775	1454	419
776	1456	418
777	1458	416
778	1460	414
779	1462	412
780	1464	410
781	1466	408
782	1468	406
783	1469	404
784	1471	402
785	1473	401
786	1474	399
787	1476	397
788	1479	395
789	1480	393
790	1482	391
791	1484	389
792	1486	387
793	1488	386
794	1489	384
795	1491	382
796	1493	380
797	1495	378
798	1497	376
799	1499	374
800	1501	372
801	1502	371
802	1504	369
803	1506	367
804	1508	365
805	1510	363
806	1512	361
807	1514	359
808	1516	357
809	1517	356
810	1519	354
811	1521	352
812	1523	350
813	1525	348
814	1527	346
815	1529	344
816	1531	343
817	1533	341
818	1534	339
819	1536	337
820	1538	335
821	1540	333
822	1542	331
823	1544	329
824	1546	328
825	1548	326
826	1550	324
827	1551	322
828	1553	320
829	1555	318
830	1557	316
831	1559	314
832	1561	313
833	1563	311
834	1565	309
835	1567	307
836	1569	305
837	1570	303
838	1572	301
839	1574	299
840	1577	298
841	1578	296
842	1580	294
843	1582	292
844	1584	290
845	1586	288
846	1587	286
847	1589	284
848	1591	283
849	1593	281
850	1595	279
851	1597	277
852	1599	275
853	1600	273
854	1602	271
855	1604	269
856	1606	268
857	1608	266
858	1610	264
859	1612	262
860	1614	260
861	1615	258
862	1617	256
863	1619	254
864	1621	253
865	1623	251
866	1625	249
867	1627	247
868	1628	245
869	1630	243
870	1632	241
871	1634	239
872	1636	238
873	1638	236
874	1640	234
875	1641	232
876	1643	230
877	1645	228
878	1647	226
879	1649	224
880	1651	223
881	1652	221
882	1654	219
883	1656	217
884	1658	215
885	1660	213
886	1662	211
887	1664	209
888	1666	208
889	1667	206
890	1669	204
891	1671	202
892	1672	200
893	1674	198
894	1676	196
895	1678	194
896	1681	193
897	1683	191
898	1684	189
899	1686	187
900	1688	185
901	1690	183
902	1692	181
903	1693	179
904	1695	178
905	1698	176
906	1700	174
907	1701	172
908	1704	170
909	1705	168
910	1707	166
911	1709	164
912	1711	163
913	1712	161
914	1715	159
915	1716	157
916	1718	155
917	1720	153
918	1722	151
919	1723	149
920	1725	148
921	1727	146
922	1729	144
923	1731	142
924	1732	140
925	1734	138
926	1736	136
927	1738	134
928	1740	132
929	1741	131
930	1743	129
931	1745	127
932	1747	125
933	1749	123
934	1751	121
935	1752	119
936	1754	117
937	1756	116
938	1757	114
939	1759	112
940	1761	110
941	1763	108
942	1765	106
943	1767	104
944	1769	102
945	1770	101
946	1772	99
947	1774	97
948	1776	95
949	1778	93
950	1780	91
951	1782	89
952	1784	87
953	1785	86
954	1787	84
955	1789	82
956	1791	80
957	1793	78
958	1795	76
959	1797	74
960	1799	73
961	1800	71
962	1802	69
963	1804	67
964	1806	65
965	1808	63
966	1810	61
967	1812	59
968	1814	58
969	1815	56
970	1817	54
971	1819	52
972	1821	50
973	1823	48
974	1825	46
975	1827	44
976	1829	43
977	1831	41
978	1833	39
979	1835	37
980	1837	35
981	1839	33
982	1841	31
983	1843	29
984	1845	28
985	1847	26
986	1849	24
987	1851	22
988	1852	20
989	1854	18
990	1856	16
991	1858	14
992	1860	13
993	1862	11
994	1864	9
995	1866	7
996	1867	5
997	1869	3
998	1871	1
999	1873	0
